
---------- Begin Simulation Statistics ----------
simSeconds                                   0.200894                       # Number of seconds simulated (Second)
simTicks                                 200893500500                       # Number of ticks simulated (Tick)
finalTick                                200893500500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1753.41                       # Real time elapsed on the host (Second)
hostTickRate                                114572936                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     747752                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      185151994                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    57032                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     105595                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        401787002                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       188241183                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                      107                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      188215873                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    219                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3089280                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           4262049                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  20                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           401730439                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.468513                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.263881                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 345666899     86.04%     86.04% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10425972      2.60%     88.64% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   2717239      0.68%     89.32% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   7736000      1.93%     91.24% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  26917872      6.70%     97.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8150889      2.03%     99.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     87898      0.02%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     27258      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       412      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             401730439                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     127      0.18%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.18% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.18% # attempts to use FU when none available (Count)
