
---------- Begin Simulation Statistics ----------
simSeconds                                   0.162463                       # Number of seconds simulated (Second)
simTicks                                 162463197000                       # Number of ticks simulated (Tick)
finalTick                                162463197000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    835.79                       # Real time elapsed on the host (Second)
hostTickRate                                194383273                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     663688                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      185151775                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   119647                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     221529                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        324926395                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       188221461                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       99                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      188205492                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     64                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              3069762                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           5102415                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           324884923                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.579299                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.389756                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 269500636     82.95%     82.95% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                  10998234      3.39%     86.34% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    217716      0.07%     86.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   8362975      2.57%     88.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                  27486599      8.46%     97.44% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   8203993      2.53%     99.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     87172      0.03%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     27276      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                       322      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             324884923                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                      66      0.09%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.09% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.09% # attempts to use FU when none available (Count)
