
---------- Begin Simulation Statistics ----------
simSeconds                                   0.119862                       # Number of seconds simulated (Second)
simTicks                                 119861890000                       # Number of ticks simulated (Tick)
finalTick                                119861890000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    851.39                       # Real time elapsed on the host (Second)
hostTickRate                                140784574                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     698396                       # Number of bytes of host memory used (Byte)
simInsts                                    100000001                       # Number of instructions simulated (Count)
simOps                                      100000001                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   117456                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     117456                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        239723781                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102413315                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       28                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102316509                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    459                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2413342                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1810812                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  12                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           239701405                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.426850                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.351899                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 209508493     87.40%     87.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8604636      3.59%     90.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5816423      2.43%     93.42% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3156627      1.32%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    341319      0.14%     94.88% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2632482      1.10%     95.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9452005      3.94%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    145930      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     43490      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             239701405                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   38999     78.61%     78.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     78.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     78.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     78.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     78.61% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     78.61% # attempts to use FU when none available (Count)
