
---------- Begin Simulation Statistics ----------
simSeconds                                   0.119706                       # Number of seconds simulated (Second)
simTicks                                 119706366000                       # Number of ticks simulated (Tick)
finalTick                                119706366000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    906.23                       # Real time elapsed on the host (Second)
hostTickRate                                132092477                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     628052                       # Number of bytes of host memory used (Byte)
simInsts                                    100000005                       # Number of instructions simulated (Count)
simOps                                      100000005                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   110347                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     110347                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                        239412733                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                       102363371                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                      102298341                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                    487                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              2363389                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined           1740631                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  10                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples           239388396                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               0.427332                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.354205                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                 209297902     87.43%     87.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   8483259      3.54%     90.97% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   5878493      2.46%     93.43% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                   3133565      1.31%     94.74% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    288346      0.12%     94.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                   2577367      1.08%     95.94% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                   9533946      3.98%     99.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    150638      0.06%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     44880      0.02%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total             239388396                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   38832     88.80%     88.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     88.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     88.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     88.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     88.80% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     88.80% # attempts to use FU when none available (Count)
